chunk_size,overlap,embedding_model,k,mean_similarity,mean_f1,top_1_accuracy,top_3_accuracy,top_5_accuracy,top_k_accuracy,,,Best configuration:,,,,mean_f1,top_k_accuracy,,,,,,,,,,,,,,chunk_size,top_k_accuracy,,,,chunk_size,mean_f1
500,50,text-embedding-3-small,5,0.312529234,0.417069145,0.23255814,0.488372093,0.697674419,0.697674419,,0.557371782,Chunk size: 500,,,,0.417069145,0.697674419,,,,,,,,,,,,,,500,0.697674419,,,,500,0.417069145
500,50,text-embedding-3-small,10,0.34752116,0.468889336,0.23255814,0.488372093,0.697674419,0.88372093,,0.676305133,Overlap: 250,,,,0.468889336,0.88372093,,,,,,,,,,,,,,500,0.88372093,,,,500,0.468889336
500,50,text-embedding-3-large,5,0.343184243,0.458263566,0.325581395,0.697674419,0.837209302,0.837209302,,0.647736434,Model: text-embedding-3-large,,,,0.458263566,0.837209302,,,,,,,,,,,,,,500,0.837209302,,,,500,0.458263566
500,50,text-embedding-3-large,10,0.350949834,0.47505381,0.325581395,0.697674419,0.837209302,0.906976744,,0.691015277,k: 10,,,,0.47505381,0.906976744,,,,,,,,,,,,,,500,0.906976744,,,,500,0.47505381
500,100,text-embedding-3-small,5,0.279402429,0.426340096,0.325581395,0.604651163,0.76744186,0.76744186,,0.596890978,Mean Similarity: 0.386,,,,0.426340096,0.76744186,,,,,,,,,,,,,,500,0.76744186,,,,500,0.426340096
500,100,text-embedding-3-small,10,0.349762186,0.480556772,0.325581395,0.604651163,0.76744186,0.906976744,,0.693766758,Mean F1 Score: 0.499,,,,0.480556772,0.906976744,,,,,,,,,,,,,,500,0.906976744,,,,500,0.480556772
500,100,text-embedding-3-large,5,0.310753145,0.44295861,0.302325581,0.674418605,0.837209302,0.837209302,,0.640083956,Top-1 Accuracy: 0.395,,,,0.44295861,0.837209302,,,,,,,,,,,,,,500,0.837209302,,,,500,0.44295861
500,100,text-embedding-3-large,10,0.372249178,0.491463487,0.279069767,0.674418605,0.837209302,0.930232558,,0.710848023,Top-3 Accuracy: 0.721,,,,0.491463487,0.930232558,,,,,,,,,,,,,,500,0.930232558,,,,500,0.491463487
500,250,text-embedding-3-small,5,0.309175797,0.424805209,0.325581395,0.558139535,0.697674419,0.697674419,,0.561239814,Top-5 Accuracy: 0.814,,,,0.424805209,0.697674419,,,,,,,,,,,,,,500,0.697674419,,,,500,0.424805209
500,250,text-embedding-3-small,10,0.380340118,0.491039512,0.325581395,0.558139535,0.697674419,0.906976744,,0.699008128,Top-10 Accuracy: 0.930,,,,0.491039512,0.906976744,,,,,,,,,,,,,,500,0.906976744,,,,500,0.491039512
500,250,text-embedding-3-large,5,0.342343778,0.457835269,0.395348837,0.720930233,0.813953488,0.813953488,,0.635894379,Combined Score: 0.714,,,,0.457835269,0.813953488,,,,,,,,,,,,,,500,0.813953488,,,,500,0.457835269
500,250,text-embedding-3-large,10,0.386079259,0.498677623,0.395348837,0.720930233,0.813953488,0.930232558,,0.714455091,,,,,0.498677623,0.930232558,,,,,,,,,,,,,,500,0.930232558,,,,500,0.498677623
1000,50,text-embedding-3-small,5,0.189221037,0.320195355,0.441860465,0.76744186,0.88372093,0.88372093,,0.601958143,,,,,0.320195355,0.88372093,,,,,,,,,,,,,,1000,0.88372093,,,,1000,0.320195355
1000,50,text-embedding-3-small,10,0.196347177,0.330874765,0.441860465,0.76744186,0.88372093,0.930232558,,0.630553662,,,,,0.330874765,0.930232558,,,,,,,,,,,,,,1000,0.930232558,,,,1000,0.330874765
1000,50,text-embedding-3-large,5,0.205967024,0.33786558,0.488372093,0.930232558,0.953488372,0.953488372,,0.645676976,,,,,0.33786558,0.953488372,,,,,,,,,,,,,,1000,0.953488372,,,,1000,0.33786558
1000,50,text-embedding-3-large,10,0.206744564,0.338818831,0.488372093,0.930232558,0.953488372,0.953488372,,0.646153602,,,,,0.338818831,0.953488372,,,,,,,,,,,,,,1000,0.953488372,,,,1000,0.338818831
